1641656237;50.0;18.0;0.0;16.0
1641656248;50.0;18.0;0.0;15.0
1641656257;50.0;18.0;0.0;16.0
1641656266;50.0;18.0;0.0;16.0
1641656274;50.0;18.0;0.0;15.0
1641656283;50.0;18.0;0.0;14.0
1641656294;50.0;18.0;0.0;14.0
1641656303;50.0;18.0;0.0;14.0
1641656311;50.0;18.0;0.0;15.0
1641656320;50.0;18.0;0.0;14.0
1641656328;50.0;18.0;0.0;14.0
1641656337;50.0;18.0;0.0;15.0
1641656348;49.0;18.0;0.0;14.0
1641656357;49.0;18.0;0.0;14.0
1641656365;49.0;18.0;0.0;14.0
1641656377;49.0;17.0;0.0;14.0
1641656385;48.0;17.0;0.0;14.0
1641656394;48.0;17.0;0.0;14.0
1641656402;48.0;17.0;0.0;10.0
1641656413;48.0;17.0;0.0;9.0
1641656425;48.0;17.0;0.0;15.0
1641656433;48.0;17.0;0.0;14.0
1641656442;48.0;17.0;0.0;14.0
1641656450;48.0;17.0;0.0;14.0
1641656462;49.0;17.0;0.0;14.0
